Source,CH1,CH2
Second,Volt,Volt
-0.19691999257,7.84000,0.01200
-0.19687999785,7.84000,0.01600
-0.19683998823,7.92000,0.01600
-0.19679999352,8.00000,0.01600
-0.19675999880,8.00000,0.01600
-0.19671998918,8.16000,0.01600
-0.19667999446,8.16000,0.01600
-0.19663999975,8.32000,0.01600
-0.19659999013,8.40000,0.01600
-0.19655999541,8.40000,0.02000
-0.19652000070,8.48000,0.01600
-0.19647999108,8.56000,0.01200
-0.19643999636,8.64000,0.01600
-0.19640000165,8.64000,0.01200
-0.19635999203,8.64000,0.01600
-0.19631999731,8.80000,0.01600
-0.19627998769,8.80000,0.01600
-0.19623999298,8.80000,0.01600
-0.19619999826,8.96000,0.01600
-0.19615998864,8.96000,0.01600
-0.19611999393,8.96000,0.01600
-0.19607999921,8.96000,0.01600
-0.19603998959,8.96000,0.01600
-0.19599999487,9.04000,0.02000
-0.19596000016,9.04000,0.01600
-0.19591999054,9.04000,0.02000
-0.19587999582,9.04000,0.01200
-0.19584000111,9.04000,0.01600
-0.19579999149,9.04000,0.02000
-0.19575999677,9.04000,0.01600
-0.19572000206,9.12000,0.02000
-0.19567999244,9.12000,0.01600
-0.19563999772,9.12000,0.01600
-0.19559998810,9.04000,0.01200
-0.19555999339,9.12000,0.01600
-0.19551999867,9.12000,0.01600
-0.19547998905,9.12000,0.01600
-0.19543999434,9.12000,0.01600
-0.19539999962,9.12000,0.01600
-0.19535999000,9.12000,0.01600
-0.19531999528,9.12000,0.01600
-0.19528000057,9.12000,0.01600
-0.19523999095,9.12000,0.02400
-0.19519999623,9.12000,0.01600
-0.19516000152,9.12000,0.01600
-0.19511999190,9.20000,0.01600
-0.19507999718,9.20000,0.01600
-0.19504000247,9.20000,0.01600
-0.19499999285,9.20000,0.02000
-0.19495999813,9.20000,0.01600
-0.19491998851,9.20000,0.01600
-0.19487999380,9.20000,0.01600
-0.19483999908,9.20000,0.01600
-0.19479998946,9.20000,0.01600
-0.19475999475,9.20000,0.02000
-0.19472000003,9.20000,0.01600
-0.19467999041,9.20000,0.01600
-0.19463999569,9.20000,0.01600
-0.19460000098,9.20000,0.02000
-0.19455999136,9.28000,0.01600
-0.19451999664,9.20000,0.01600
-0.19448000193,9.20000,0.01600
-0.19443999231,9.20000,0.02000
-0.19439999759,9.28000,0.01600
-0.19435998797,9.28000,0.02000
-0.19431999326,9.20000,0.01600
-0.19427999854,9.20000,0.02000
-0.19423998892,9.28000,0.01600
-0.19419999421,9.28000,0.02000
-0.19415999949,9.28000,0.01600
-0.19411998987,9.20000,0.01600
-0.19407999516,9.20000,0.01600
-0.19404000044,9.28000,0.01600
-0.19399999082,9.20000,0.02000
-0.19395999610,9.20000,0.02000
-0.19392000139,9.20000,0.02000
-0.19387999177,9.20000,0.01600
-0.19383999705,9.20000,0.01600
